0 49
16 22 6
41 43 1
3 42 17
17 41 20
11 39 20
44 45 17
6 42 11
6 21 1
44 49 19
5 29 8
16 34 13
2 16 7
32 36 6
17 44 18
14 32 14
7 45 5
22 41 6
37 46 18
15 24 6
32 36 18
31 39 9
43 49 15
10 42 14
11 17 15
16 35 16
40 48 3
4 18 16
15 22 20
36 49 20
36 45 18
16 43 3
35 43 6
30 32 9
8 32 9
24 39 20
18 33 19
13 24 2
28 37 4
17 21 1
33 38 6
25 47 7
38 45 8
14 29 14
3 14 15
2 6 3
38 47 17
44 49 5
12 22 2
14 27 7
36 41 19
18 22 17
20 49 14
36 39 6
29 38 12
14 37 14
12 31 17
19 32 5
48 49 18
2 40 3
26 38 17
6 15 3
14 24 10
22 49 15
2 16 3
34 39 10
37 44 5
0 2 11
42 48 15
45 49 4
17 45 20
22 24 11
18 29 12
22 45 7
45 46 16
0 10 6
32 45 3
2 6 8
8 39 14
23 30 12
30 31 1
8 22 7
15 43 8
6 24 10
38 42 15
2 46 15
6 27 20
23 28 13
48 49 7
31 36 9
19 33 18
10 14 20
48 49 4
10 36 1
0 3 9
3 4 5
4 5 11
5 7 3
7 8 9
8 11 2
11 12 4
12 13 11
13 19 20
19 20 15
20 23 14
23 25 15
25 26 9
